"DRAFT: Voting Method & Tabulation Universe, V1.0","L. Lochridge - Editor and Working Group Chair, George Gilbert, Chris Hughes - Editor & Legislation Expert,  Herb Deutsch, Celeste Landry","STATUS: DRAFT - Work In Progress Voting Methods and Tabulation Universe, a spreadsheet that contains our 'ground truth' research results for the knowledge and interpretation of the plain language algorithmic definitions of voting methods in use in practice, extracted from authoritative sources (legislation, Election Official (EO) documents), with all links to the original source of legislation, statute, local rules or EO documentation of practice.",,,,,,,,,,,,,
Multi winner RCV Contest,Determine if Elected (Step 3),"(g)(1)If the number of continuing candidates plus the number of candidates that have been designated as elected equals the number of offices to be filled, all continuing candidates shall be designated as elected and the tabulation is complete.",Elected if Continuing candidates = seats to fill ,"CA SB 1288,  22101 (c),(d), (g)(1), c., Mass Gen Laws 54, §9 (c), Minneapolis Charter, tit. 8.5, ch. 167.70(b)",,,CA SB 1288: http://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201520160SB1288; Massachusetts: https://drive.google.com/open?id=0B6Xsbk1wDKOodHY2czEwRGE2ZjA; Minneapolis: https://drive.google.com/open?id=0B6Xsbk1wDKOoZ2NYTHFNSzFCSkE,,,,,,,,
,,,,,,,,,,,,,,,
Determine if Elected (Multi winner Contests with sequential tabulation),Elected,"If more than one seat is to be filled in the same race, the voter votes the same way as if one seat were to be filled. The round-by-round counting process is the same as when one seat is to be filled - candidates are eliminated and have their ballots transfer until someone emerges with a majority of votes in a round. This count is repeated for each seat to be filled, however. The first count results in the first winner. Then all ballots are reset to the start of the count, but with rankings for the first winner ignored. The round-by-round count repeats to identify a second winner. For each additional seat to be filled, an additional count is done without the names of the candidates who have already won.","Multiple counts using top two advance tabulation rules with successive winner's names removed after each count (NC).

Multiple counts eliminating last place candidate until majority is achieved with successive winner's names removed after each count (Sarasota, Fl., Utah)","NCGS 163-329(b1)(2), Article IX, Sec. 5, Sarasota City Charter; Utah Code 20A-4-603(7)",,,Utah: https://le.utah.gov/xcode/Title20A/Chapter4/20A-4-S603.html; Sarasota: https://drive.google.com/file/d/1xiFx0P6MAyyU6lRxON8StvqJV_EGEod6/view,,,,,,,,"sequential, multi-pass, block preferential"
Determine if Elected (bottoms up tabulation),Elected,"If more than one seat is to be filled in the same race, the voter votes the same way as if one seat were to be filled. The counting is the same as when one seat is to be filled, instead filling multiple seats. Candidates are eliminated and ballots are transferred from eliminated candidates until there are as many candidates as seats to be filled.",Elected if # of candidates=seats to fill. ,Utah Code 20A-4-603(9),,,https://le.utah.gov/xcode/Title20A/Chapter4/20A-4-S603.html,,,,,,,,
Redistribution of Surplus (Multi winner Contests) (Weighted Inclusive Gregory Method-WIMG),Determine surplus value,"Surplus means the total number of votes cast for an elected candidate in excess of the threshold. (Minneapolis Charter, ch. 167.20)","Surplus Vote=Total votes for candidate - Threshold

","CA SB 1288,  22101(f); Minneapolis Code tit. 8.5, ch. 167.70(c); http://vote.minneapolismn.gov/rcv/RCV-HISTORY; ",,,"CA SB 1288: http://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201520160SB1288"",""CA SB 1288; (2016),         Minneapolis: https://drive.google.com/open?id=0B6Xsbk1wDKOoZ2NYTHFNSzFCSkE http://vote.minneapolismn.gov/rcv/RCV-HISTORY",,,,,,,,
Redistribution of Surplus (Multi winner Contests) (Weighted Inclusive Gregory Method-WIMG),Determine surplus factor,"(f) For each candidate that is designated as elected and has a surplus, the surplus of that candidate shall be transferred as follows:
(1) The surplus factor for the candidate shall be calculated as the quotient, rounded down to four decimal places, of the candidate’s surplus divided by the total number of votes for the candidate.
","Surplus Factor=Surplus Vote/Total votes for candidate



","CA SB 1288,  22101(f); Minneapolis Code tit. 8.5, ch. 167.70(c); http://vote.minneapolismn.gov/rcv/RCV-HISTORY; ",,,"CA SB 1288: http://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201520160SB1288"",""CA SB 1288; (2016),         Minneapolis: https://drive.google.com/open?id=0B6Xsbk1wDKOoZ2NYTHFNSzFCSkE http://vote.minneapolismn.gov/rcv/RCV-HISTORY",,,,,,,,
Redistribution of Surplus (Multi winner Contests) (Weighted Inclusive Gregory Method-WIMG),Determine New Transfer Value,"(2) Each ballot counted for the candidate shall be transferred to, and counted for, the highest-ranked continuing candidate on that ballot using a new transfer value, calculated as the product, rounded down to four decimal places, of the old transfer value times the candidate’s surplus factor. 

(4) After the candidate’s surplus is transferred and his or her residual surplus is calculated, the candidate does not have a surplus, and the candidate’s vote total for the remainder of the tabulation shall be equal to the threshold. (SB 1288, 22101(f))",New Transfer Value=Current value of vote x Surplus Factor,"CA SB 1288 (2017), CA SB 212 (2019),  22101(f); Minneapolis Code tit. 8.5, ch. 167.70(c); http://vote.minneapolismn.gov/rcv/RCV-HISTORY; ",,,"CA SB 1288: http://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201520160SB1288"",""CA SB 1288; (2016),         Minneapolis: https://drive.google.com/open?id=0B6Xsbk1wDKOoZ2NYTHFNSzFCSkE http://vote.minneapolismn.gov/rcv/RCV-HISTORY",,,,,,,,
Redistribution of Surplus (Multi winner Contests) (Weighted Inclusive Gregory Method-WIMG),Residual Surplus,(3) “Residual surplus” means the number of surplus votes not transferred pursuant to paragraphs (1) and (2) due to rounding. The residual surplus for the transfer equals the surplus for the candidate minus the sum of the new transfer values for every ballot transferred from the candidate. The residual surplus shall not be counted for any candidate nor as part of other exhausted votes.,Residual surplus = Surplus for candidate - sum of the new transfer values for every ballot transferred from candidate,,,,,,,,,,,,
Redistribution of Surplus (Multi winner Contests) (Weighted Inclusive Gregory Method-WIMG),Transfer New Transfer value to next highest ranked continuing candidate,"(2) Each ballot counted for the candidate shall be transferred to, and counted for, the highest-ranked continuing candidate on that ballot using a new transfer value, calculated as the product, rounded down to five decimal places, of the old transfer value times the candidate’s surplus factor. 

(4) After the candidate’s surplus is transferred and his or her residual surplus is calculated, the candidate does not have a surplus, and the candidate’s vote total for the remainder of the tabulation shall be equal to the threshold. (SB 1288, 22101(f))","For each candidate with a surplus, transfer to next highest ranked continuing candidate the new transfer value of each vote",,,,,,,,,,,,
Redistribution of Surplus (Multi winner Contests) (Cincinatti Method),"Determine Surplus
","The technique used by Cambridge for selecting ballots to transfer from a candidate’s surplus to bring the candidate down to quota is called the Cincinnati Method. 

The surplus is the votes in excess of the quota that are received by a candidate","Surplus Vote=Total votes for candidate - Quota (threshold)



",Mass. Gen. Laws 54A-http://www.cambridgema.gov/election/~/link.aspx?_id=D58142E0FBC64BEDB4B0F92D957FD453&_z=z;,,,Massachusetts: http://www.cambridgema.gov/election/~/link.aspx?_id=D58142E0FBC64BEDB4B0F92D957FD453&_z=z; https://drive.google.com/open?id=0B6Xsbk1wDKOodHY2czEwRGE2ZjA,,,,,,,,
Redistribution of Surplus (Multi winner Contests) (Cincinatti Method),"Determine ""n"""," n is nearest whole number computed by the formula: 
n=Candidates total ballots/surplus",n=total votes for candidate/surplus vote,Mass. Gen. Laws 54A-http://www.cambridgema.gov/election/~/link.aspx?_id=D58142E0FBC64BEDB4B0F92D957FD453&_z=z;,,,Massachusetts: http://www.cambridgema.gov/election/~/link.aspx?_id=D58142E0FBC64BEDB4B0F92D957FD453&_z=z; https://drive.google.com/open?id=0B6Xsbk1wDKOodHY2czEwRGE2ZjA,,,,,,,,
Redistribution of Surplus (Multi winner Contests) (Cincinatti Method),Transfer surplus ballots,"every nth ballot is drawn and transferred to a continuing candidate until the original candidate is credited with ballots equaling no more than quota.

A ballot selected by this method that does not show a preference for a continuing candidate is skipped and remains with the original candidate. If not enough ballots are removed when ballots n, 2n, 3n, .... have been transferred, the sequence starts again with n+1, 2n+1, 3n+1, ",Transfer every nth ballot to next highest ranked continuing candidate until votes for original candidate = quota,Mass. Gen. Laws 54A-http://www.cambridgema.gov/election/~/link.aspx?_id=D58142E0FBC64BEDB4B0F92D957FD453&_z=z;,,,Massachusetts: http://www.cambridgema.gov/election/~/link.aspx?_id=D58142E0FBC64BEDB4B0F92D957FD453&_z=z; https://drive.google.com/open?id=0B6Xsbk1wDKOodHY2czEwRGE2ZjA,,,,,,,,
Elimination of candidate(s),Undeclared Write-In," all undeclared write-in candidates must be defeated simultaneously . MUST (Minneapolis Charter, 167.60(c)(1)(b))",Eliminate undeclared write-in candidates,"Minneapolis Charter, 167.60(c)(1)(b)",,,Minneapolis: https://drive.google.com/open?id=0B6Xsbk1wDKOoZ2NYTHFNSzFCSkE,,,,,,,,
Elimination of candidate(s),Mathematically impossible to be elected (Batch Elimination),"If a candidate satisfies both of the following conditions, then all candidates with fewer votes may be designated as defeated:
       (1) At least one other candidate has at least as many votes as the candidate.
       (2) The candidate has more votes than the total votes for all  candidates with fewer votes.  MUST (IF ANY) (SB 1288,  22100(d)–(e))","Eliminate candidates for whom it is mathematially impossible to be elected.  (eliminate candidates C1, C2, C3….Cn if sum of votes for C1….Cn < votes for candidate B and votes for B < votes for candidate X)","CA SB 1288,  22100(d)–(e), Minneapolis Charter, 167.60(c)(1)(b), Maine Rev. Statutes, tit. 21 §§ 723-A(2)(B); 723-A(4)(B), St Paul Ordinances, 31.05(d)(1)–(2), Takoma Park Charter, § 606(f)",,,CA SB 1288: http://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201520160SB1288; Minneapolis: https://drive.google.com/open?id=0B6Xsbk1wDKOoZ2NYTHFNSzFCSkE; Maine: http://legislature.maine.gov/statutes/21-A/title21-Asec723-A.html; St. Paul: https://drive.google.com/open?id=0B6Xsbk1wDKOoNmNzWDVRTkdnQVk; Takoma Park; https://drive.google.com/open?id=0B6Xsbk1wDKOoWU1BRkZYMzZpXzA,,,,,,,,
Elimination of candidate(s),Defeat last place candidate,"If no candidate's vote total is equal to or greater than the threshold, a new round begins and the candidate with the fewest votes is defeated MUST (St Paul Ordinances, 31.05(d)(2))","If no candidate meets threshold, eliminate candidate with fewest votes","Minneapolis Charter, 167.60(c)(1)(b), St Paul Ordinances, 31.05(d)(2), Portland Charter, Art. II § 3(c), San Francisco Charter, § 13.102(c), Berkeley Code, 2.14.040(c), Oakland Charter, 1105(d), San Leandro Code, tit. 1 § 1-11-320(c),  If no other candidates eliminated in round: SB 1288,  22100(d)–(e), Minneapolis Charter, 167.60(c)(1)(b), Maine Rev. Statutes, tit. 21 §§ 723-A(2)(B); 723-A(4)(B), St Paul Ordinances, 31.05(d)(1)–(2), Takoma Park Charter, § 606(f), Santa Fe Code 9-1.15(E)(3)",,,Minneapolis: https://drive.google.com/open?id=0B6Xsbk1wDKOoZ2NYTHFNSzFCSkE; St. Paul: https://drive.google.com/open?id=0B6Xsbk1wDKOoNmNzWDVRTkdnQVk; Portland: https://drive.google.com/open?id=0B6Xsbk1wDKOoV0JUWEtsakFxME0; San Francisco: https://drive.google.com/open?id=0B6Xsbk1wDKOodUNsQUttNEZ6X2c; Berkeley: https://drive.google.com/open?id=0B6Xsbk1wDKOodlhVUnBMbXFUVEU; Oakland: https://drive.google.com/open?id=0B6Xsbk1wDKOoeVp2S1NUS3V0Sm8; San Leandro: https://drive.google.com/open?id=0B6Xsbk1wDKOoT2ttM011T3FQM0U; CA SB 1288: http://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201520160SB1288; Maine: http://legislature.maine.gov/statutes/21-A/title21-Asec723-A.html; Takoma Park: https://drive.google.com/open?id=0B6Xsbk1wDKOoWU1BRkZYMzZpXzA,,,,,,,,
Elimination of candidate(s),All but top two,"If no candidate receives that minimum number, the two candidates with the greatest number of firstchoice votes advance to a second round of counting.",All but top two 1st choice vote getters eliminated,NCGS 163-329(b1)(2),,,North Carolina: https://drive.google.com/open?id=0B6Xsbk1wDKOoMkdwYTJQSkxqTzQ,,,,,,,,
Rounds,"Subsequent rounds

4.1.2.8.11
","The votes in the successive rounds shall be re-tabulated among the remaining candidates until one candidate receives a majority of the votes cast in that round.  In each successive round, each voter's ballot shall count as a single vote for whichever candidate the voter has ranked highest who has not been eliminated in a prior round,  (Portland Charter, Art. II § 3(c) )",All continuing ballots recounted with eliminated candidates' continuing ballots counting for highest-ranked continuing candidate. Elimination based on fewest votes.  Rounds continue until candidate elected.,"Portland Charter, Art. II § 3(c), Maine Rev. Statutes, tit. 21 § 723-A(2), San Leandro Code, tit. 1 1-11-320(d), Takoma Park Charter, § 606€",,,Portland: https://drive.google.com/open?id=0B6Xsbk1wDKOoV0JUWEtsakFxME0; Maine: http://legislature.maine.gov/statutes/21-A/title21-Asec723-A.html; San Leandro: https://drive.google.com/open?id=0B6Xsbk1wDKOoT2ttM011T3FQM0U; Takoma Park: https://drive.google.com/open?id=0B6Xsbk1wDKOoWU1BRkZYMzZpXzA,,,,,,,,
Rounds,Subsequent rounds,"Every ballot counting towards the eliminated candidate shall be advanced to the next-ranked continuing candidate. All the continuing ballots for all continuing candidates shall be counted again in a new round. During the elimination stage of any round, in the event that any candidate has more votes than the combined vote total of all candidates with fewer votes, all the candidates with fewer votes shall be eliminated simultaneously, and those ballots advanced to the next-ranked continuing candidate. Berkeley Code, 2.14.040(D)",All continuing ballots recounted with eliminated candidates' ballots counting for highest-ranked continuing candidate. Elimination may be based on mathematically impossible to be elected or fewest votes.  Rounds continue until candidate elected.,"Berkeley Code, 2.14.040(D), Oakland Charter, 1105(d), NCGS 163-329(b1)(2)",,,Berkeley: https://drive.google.com/open?id=0B6Xsbk1wDKOodlhVUnBMbXFUVEU; Oakland: https://drive.google.com/open?id=0B6Xsbk1wDKOoeVp2S1NUS3V0Sm8,,,,,,,,
Rounds,Subsequent rounds,"(1) all candidates for whom it is mathematically impossible to be elected must be defeated simultaneously, or the candidate with the fewest votes is defeated, (2) Votes for the defeated candidate(s) must be transferred to each ballot's next-ranked continuing candidate, except votes for candidates defeated in the final round are not transferred if, by their defeat, the number of continuing candidates is reduced to one (1), (3) The number of votes cast for each candidate, as indicated by the highest continuing ranking on each ballot, must be counted, (4) These procedures must be repeated until one (1) candidate reaches the threshold, or until only one (1) continuing candidate remains.  Minneapolis Charter, 167.60(c)(1)(b)","Eliminated candidates' continuing ballots count for highest-ranked continuing candidate. Elimination may be based on mathematically impossible to be elected, fewest votes or not in top two.  Rounds continue, if necessary, until candidate elected.","Minneapolis Charter, 167.60(c)(1)(b), CA SB 1288,  22100(f), St Paul Ordinances, 31.05(d)(1)–(3), ",,,Minneapolis: https://drive.google.com/open?id=0B6Xsbk1wDKOoZ2NYTHFNSzFCSkE; CA SB 1288: http://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201520160SB1288; St. Paul: https://drive.google.com/open?id=0B6Xsbk1wDKOoNmNzWDVRTkdnQVk,,,,,,,,
Rounds (Multi winner contests),Subsequent rounds (Multi Winner),"(c)(1) The threshold must be calculated. (c)(1)a. The number of votes cast for each candidate for the current round must be counted. If the number of candidates, other than any undeclared write-in candidate, whose vote total is equal to or greater than the threshold is equal to the number of seats to be filled, those candidates who are continuing candidates are elected and the tabulation is complete. If the number of candidates, other than any undeclared write-in candidate, whose vote total is equal to or greater than the threshold is not equal to the number of seats to be filled, a new round begins and the tabulation must continue as described in clause b.                    (c)(1)b. Surplus votes for any candidates whose vote total is equal to or greater than the threshold must be calculated. (c)(1)c. At the beginning of the second round only, after any surplus votes are calculated but not yet transferred, all undeclared write-in candidates and all candidates for whom it is mathematically impossible to be elected must be defeated simultaneously. For rounds subsequent to the second round, after any surplus votes are calculated but not yet transferred, all candidates for whom it is mathematically impossible to be elected must be defeated simultaneously. Votes for the defeated candidates must be transferred to each ballot's next-ranked continuing candidate, except votes for candidates defeated in the final round are not transferred if, by their defeat, the number of continuing candidates is reduced to the number of seats yet to be filled. If no candidate can be defeated under this clause, the tabulation must continue as described in clause d. Otherwise, the tabulation must continue as described in clause a.  (c)(1)d. The candidate with the largest surplus is declared elected and that candidate's surplus is transferred....The transfer value of each vote cast for an elected candidate must be transferred to the next continuing candidate on that ballot. If no candidate has a surplus, the tabulation must continue as described in clause e. Otherwise, the tabulation must continue as described in clause a.  (c)(1)e. If there are no transferable surplus votes, the candidate with the fewest votes is defeated. (c)(1)f. The procedures in clauses a. to e. must be repeated until the number of candidates whose vote total is equal to or greater than the threshold is equal to the number of seats to be filled, or until the number of continuing candidates is equal to the number of seats yet to be filled.Votes for a defeated candidate are transferred at their transfer value to each ballot's next-ranked continuing candidate, except votes for candidates defeated in the final round are not transferred if, by their defeat, the number of continuing candidates is reduced to the number of seats yet to be filled. ( Minneapolis Charter,tit. 8.5, ch. 167.70 (c)(1))",1.  Undeclared write-ins and/or candidates mathematically impossible to be elected are defeated and their ballots counted for the highest ranked continuing candidate at current transfer value   2. Surplus or  candidate's ballots with fewest votes count for highest-ranked continuing candidate at current transfer value,"Minneapolis Charter,tit. 8.5, ch. 167.70 (c)(1)",,,Minneapolis: https://drive.google.com/open?id=0B6Xsbk1wDKOoZ2NYTHFNSzFCSkE,,,,,,,,
,,,,,,,,,,,,,,,
Rounds (Multi winner contests),Subsequent rounds (Proportional Multi Winner),"(f) For each candidate that is designated as elected and has a surplus, the surplus of that candidate shall be transferred as follows:

(1) The surplus factor for the candidate shall be calculated as the quotient, rounded down to five decimal places, of the candidate’s surplus divided by the total number of votes for the candidate.

(2) Each ballot counted for the candidate shall be transferred to, and counted for, the highest-ranked continuing candidate on that ballot using a new transfer value, calculated as the product, rounded down to five decimal places, of the old transfer value times the candidate’s surplus factor.

(3) “Residual surplus” means the number of surplus votes not transferred pursuant to paragraphs (1) and (2) due to rounding. The residual surplus for the transfer equals the surplus for the candidate minus the sum of the new transfer values for every ballot transferred from the candidate. The residual surplus shall not be counted for any candidate nor as part of other exhausted votes.

(4) After the candidate’s surplus is transferred and his or her residual surplus is calculated, the candidate does not have a surplus, and the candidate’s vote total for the remainder of the tabulation shall be equal to the threshold.

(g) If a surplus was not transferred in this round pursuant to subdivision (f), the continuing candidate with the fewest votes shall be designated as defeated.
(2) Each ballot that counted for the defeated candidate shall be transferred to, and counted for, the highest ranked continuing candidate on that ballot using the current transfer value. After all ballots have been transferred, a defeated candidate shall have zero votes.",1.  Candidates mathematically impossible to be elected are defeated and their ballots counted for the highest ranked continuing candidate at current transfer value   2. Surplus or  candidate's ballots with fewest votes count for highest-ranked continuing candidate at current transfer value,"CA SB 1288,  22101(f)-(g)(2)",,,CA SB 1288,,,,,,,,
Rounds (Multi winner contests),Subsequent rounds (Proportional Multi Winner),"""The computer disk with the ballot files is installed in a second computer. This computer contains the software which counts the ballots. The software has been programmed to follow the ""Cambridge Rules,"" as documented in M.G.L. Chapter 54A and in the Cincinnati Code - Article IX of 1938. "" (It is hard to tell exactly what they are now doing.  Further inquiry is being made and documentation sought. Gg)",Surplus and eliminated candidates' ballots count for highest-ranked continuing candidate at full vote value,"Cambridge:  http://www.cambridgema.gov/election/~/link.aspx?_id=D58142E0FBC64BEDB4B0F92D957FD453&_z=z; Cincinnati Charter of 1936, Art. IX(m) (1936); [No subsequent round provision in Massachsetts Law]",,,Cincinnatti Method Description: https://drive.google.com/open?id=0B6Xsbk1wDKOoVGtUMlE0b1FWV0U; Cambridge Ballot Adjudication: http://www.cambridgema.gov/election/~/link.aspx?_id=D58142E0FBC64BEDB4B0F92D957FD453&_z=z,,,,,,,,
Determine if Elected,Elected,"  If: (1) There is only one continuing candidate or (2) There are exactly two continuing candidates, in which case the candidate with a majority of votes shall be designated as elected",Only one continuing candidate remains or two candidates remain,"CA SB 1288, 22100(b)(1-2)",,,CA SB 1288,,,,,,,,
Rounds (Multi-Pass IRV),Subsequent rounds (Multi-Pass IRV),"If more than one seat is to be filled in the same race, the voter votes the same way as if one seat were to be filled. The counting is the same as when one seat is to be filled, with one or more rounds as needed, except that counting is done separately for each seat to be filled. The first counting results in the first winner. Then the second count proceeds without the name of the first winner. This process results in the second winner. For each additional seat to be filled, an additional count is done excluding the names of the candidates who have already won.","Ballots counted in one or two rounds, as in single winner contests, for each successive seat to be filled with elected candidates names removed for successive counts.",NCGS 163-329(b1)(2),,,North Carolina: https://drive.google.com/open?id=0B6Xsbk1wDKOoMkdwYTJQSkxqTzQ,,,,,,,,
Determine Continuing/Exhausted Ballots,Determine Continuing/ Exhausted Ballots A,"Exhausted ballot: does ballot not rank any continuing candidate, contains an overvote at the highest continuing ranking or contains 2 or more sequential skipped rankings before its highest continuing ranking. MUST (Maine Rev. Statute, 21-A M.R.S.A. § 723-A(1)(D))",Continuing Ballot if: highest continuing ranking exists .and. not an overvote .and. 2 sequential rankings not skipped preceding highest continuing ranking.  Otherwise=Exhausted Ballot,"Maine Rev. Statute, 21-A M.R.S.A. § 723-A(1)(D)",,,Maine: http://legislature.maine.gov/statutes/21-A/title21-Asec723-A.html,,,,,,,,
Determine Continuing/Exhausted Ballots,Determine Continuing/ Exhausted Ballots B,"Exhausted...If all of the choices have been eliminated or there are no more choices indicated on the ballot. If a ranked-choice ballot gives equal rank to two or more candidates, the ballot shall be declared exhausted when such multiple rankings are reached. MUST (San Francisco Charter, art. XIII, § 13.102(a)(3))",Continuing Ballot if: highest continuing ranking exists .and. not an overvote.  Otherwise=Exhausted Ballot,"San Francisco Charter, art. XIII, § 13.102(a)(3), 54A Mass. Gen. Laws § 9(h), Santa Fe Code 9-1.15(B)(2)(3)(5)(9)(12)",,,San Francisco: https://drive.google.com/open?id=0B6Xsbk1wDKOodUNsQUttNEZ6X2c; Mass/Cambridge: https://drive.google.com/open?id=0B6Xsbk1wDKOodHY2czEwRGE2ZjA,,,,,,,,
Determine Continuing/Exhausted Ballots,Determine Continuing/ Exhausted Ballots C,"
22002. A ballot that does not contain a highest-ranked continuing candidate shall not count for any candidate, but rather shall count as an overvote, abstention, or other exhausted vote.  SB 1288,  22001(c) Abstention means a ballot that is to be counted for the highest-ranked continuing candidate, but that does not contain a highest-ranked continuing candidate or overvote, and the voter did at least one of the following:
   (1) Failed to assign an available ranking to every qualified candidate, and the ballot allowed the voter to rank an additional qualified candidate without creating an overvote ranking. 
   (2) Assigned a qualified candidate two or more different rankings .  (SB 1288, 22002, 22001(c))
",Continuing Ballot if: highest continuing ranking exists .and. not an overvote .and. not skipped ranking .and. not duplicate ranking.  Otherwise=Exhausted Ballot,"CA SB 1288, 22002, CA SB 1288,  22001(c)",,,CA SB 1288,,,,,,,,
Resolve ties,"Resolve ties, continuing or elected","(1) Ties between candidates with the fewest votes must immediately and publicly be decided by lot by the chief election official. The candidate chosen by lot remains a continuing candidate and the other candidate is defeated, (2) Ties between two (2) continuing candidates must immediately and publicly be decided by lot by the chief election official at the ranked voting tabulation center. The candidate chosen by lot is elected. (St Paul Ordinances, 31.05(d)(1)–(2))","Decided by ""lot"".  Candidate chosen by lot is continuing or elected.","St Paul Ordinances, 31.05(d)(1)–(2), NCGS 163-329(b1)(2)",,,St. Paul: https://drive.google.com/open?id=0B6Xsbk1wDKOoNmNzWDVRTkdnQVk,,,,,,,,
 ,"Resolve ties, defeat A","1) Ties between candidates with the fewest votes must immediately and publicly be decided by lot by the chief election offical. The candidate chosen by lot must be defeated, (2) In the case of a tie between two (2) or more continuing candidates, the tie must be decided by lot as provided in Minneapolis Charter Chapter 2, Section 12. A tied candidate chosen by lot must be defeated. (Minneapolis Charter, 167.60(C)(1)(c)–(d))","Decided by ""lot""  ""immediately and publicly."" Candidate chosen by lot is defeated.","Minneapolis Charter, 167.60(C)(1)(c)–(d)",,,Minneapolis: https://drive.google.com/open?id=0B6Xsbk1wDKOoZ2NYTHFNSzFCSkE,,,,,,,,
Resolve ties,"Resolve ties, defeat B","A tie under this section between candidates for the most votes in the final round or a tie between last-place candidates in any round must be decided by lot, and the candidate chosen by lot is defeated. Election officials may resolve prospective ties between candidates before the election. (Maine Rev. Statutes, tit. 21 § 723-A(3))",Decided by lot.  Resolution process may be determined prior to election.  Candidate chosen by lot is defeated.,"Maine Rev. Statutes, tit. 21 § 723-A(3)",,,Maine: http://legislature.maine.gov/statutes/21-A/title21-Asec723-A.html,,,,,,,,
Resolve ties,"Resolve ties, all outcomes","In the event of a tie that affects the outcome of the election, the tie shall be broken by comparing the votes of the tied candidates in the previous rounds of counting, starting with the count immediately preceding the round in which the tie occurs. If one of the tied candidates had more votes than the remaining tied candidates in the preceding round or an earlier round of counting, then that candidate shall advance and the others shall be eliminated. If the candidates were tied in each preceding round, then the tie shall be resolved by lot. In the event that this tie occurs between or among all remaining candidates, then a runoff election between or among the tied candidates shall be held within forty-five (45) days after the date of the election. (Takoma Park Charter, § 13.102(h))",Ties resolved by standing in previous round(s) or runoff if ties at all rounds,"Takoma Park Charter, § 606(h)",,,Takoma Park: https://drive.google.com/open?id=0B6Xsbk1wDKOoWU1BRkZYMzZpXzA,,,,,,,,
Resolve ties,"Resolve ties, defeat C","In the event that two or more candidates tie for the fewest number of votes, the candidate to eliminate shall be chosen by lot.  (Berkeley Code, 2.14.050)
","Decided by ""lot.""  Candidate chosen by lot is defeated.","Berkeley Code, 2.14.050, Oakland Charter, 1105(e), SB 1288,  22003, San Francisco Charter, § 13.102 (f), San Leandro Code, tit. 1 1-11-325, Santa Fe Code 9-1.15(F)",,,Berkeley: https://drive.google.com/open?id=0B6Xsbk1wDKOodlhVUnBMbXFUVEU; Oakland: https://drive.google.com/open?id=0B6Xsbk1wDKOoeVp2S1NUS3V0Sm8; San Francisco: https://drive.google.com/open?id=0B6Xsbk1wDKOodUNsQUttNEZ6X2c; San Leandro: https://drive.google.com/open?id=0B6Xsbk1wDKOoT2ttM011T3FQM0U,,,,,,,,
Resolve Overvotes,Resolve Overvotes A,"If a ranked-choice ballot gives equal rank to two or more candidates, the ballot shall be declared exhausted when such multiple rankings are reached. (San Francisco Charter, § 13.102(a))","If overvote exists, at the highest continuing ranking: Ballot is exhausted","San Francisco Charter, § 13.102(a), CA SB 1288,  22002, Berkeley Code, 2.14.080, Oakland Charter, 1105(g)–(h), Maine Rev. Statutes, tit. 21 § 723-A(2), Santa Fe Code, 9-1.15(B)(9)",,,San Francisco: https://drive.google.com/open?id=0B6Xsbk1wDKOodUNsQUttNEZ6X2c; CA SB 1288: http://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201520160SB1288; Berkeley: https://drive.google.com/open?id=0B6Xsbk1wDKOodlhVUnBMbXFUVEU; Oakland: https://drive.google.com/open?id=0B6Xsbk1wDKOoeVp2S1NUS3V0Sm8; Maine: http://legislature.maine.gov/statutes/21-A/title21-Asec723-A.html; ,,,,,,,,
Resolve Overvotes,Resolve Overvotes B,"When a skipped ranking, overvote or repeat candidate ranking is encountered on a ballot, that ballot shall count towards the highest continuing ranking that is not a skipped ranking, an overvote or repeat candidate ranking. (Minneapolis Charter, 167.60(c)(2))","If overvote exists, at the highest continuing ranking: Ballot counts for highest continuing ranking not overvoted.","Minneapolis Charter, 167.60(c)(2), St Paul Ordinances, 31.05(d)(4)(b), NCGS 163-329(b1)(2)",,,Minneapolis: https://drive.google.com/open?id=0B6Xsbk1wDKOoZ2NYTHFNSzFCSkE; St. Paul: https://drive.google.com/open?id=0B6Xsbk1wDKOoNmNzWDVRTkdnQVk,,,,,,,,
