"DRAFT: Voting Method & Tabulation Universe, V1.0","L. Lochridge - Editor and Working Group Chair, George Gilbert, Chris Hughes - Editor & Legislation Expert,  Herb Deutsch, Celeste Landry","STATUS: DRAFT - Work In Progress Voting Methods and Tabulation Universe, a spreadsheet that contains our 'ground truth' research results for the knowledge and interpretation of the plain language algorithmic definitions of voting methods in use in practice, extracted from authoritative sources (legislation, Election Official (EO) documents), with all links to the original source of legislation, statute, local rules or EO documentation of practice.",,,,,,,,,,,,,
Resolve Overvotes,Resolve Overvotes C," Ballots with two or more of the same number shall be declared exhausted when such duplicate rankings are reached unless only one of the candidates with the duplicate ranking is an advancing candidate. (Takoma Park Charter, § 606(g))","If overvote exists, at the highest continuing ranking: Ballot is exhausted unless one of the candidates has been eliminated","Takoma Park Charter, § 606(g)",,,Takoma Park: https://drive.google.com/open?id=0B6Xsbk1wDKOoWU1BRkZYMzZpXzA,,,,,,,,
Resolve Repeat Rankings,Resolve Repeat Rankings A,"When a skipped ranking, overvote or repeat candidate ranking is encountered on a ballot, that ballot shall count towards the highest continuing ranking that is not a skipped ranking, an overvote or repeat candidate ranking. (Minneapolis Charter, 167.60(c)",Advance to next highest ranked continuing candidate if an additional ranking for a previously ranked candidate is encountered.,"Minneapolis Charter, 167.60(c)(2), Berkeley Code, 2.14.080, Oakland Charter, 1105(g)–(h), Maine Rev. Statutes, tit. 21 § 723-A(2), St Paul Ordinances, 31.05(d)(4)(b), San Francisco Charter, § 13.102(a), Takoma Park Charter, § 606(g), NCGS 163-329(b1)(2), Santa Fe Code 9-1.15(B)(4), Maine Rev. Statutes, tit. 21 § 723-A(2)",,,"Minneapolis: https://drive.google.com/open?id=0B6Xsbk1wDKOoZ2NYTHFNSzFCSkE; Berkeley: https://drive.google.com/open?id=0B6Xsbk1wDKOodlhVUnBMbXFUVEU; Oakland: https://drive.google.com/open?id=0B6Xsbk1wDKOoeVp2S1NUS3V0Sm8; Maine: http://legislature.maine.gov/statutes/21-A/title21-Asec723-A.html; St. Paul: https://drive.google.com/open?id=0B6Xsbk1wDKOoNmNzWDVRTkdnQVk; San Francisco: https://drive.google.com/open?id=0B6Xsbk1wDKOodUNsQUttNEZ6X2c; Takoma Park: https://drive.google.com/open?id=0B6Xsbk1wDKOodUNsQUttNEZ6X2c
",,,,,,,,
Resolve Repeat Rankings,Resolve Repeat Rankings B,"""Exhausted ballot” means a ballot that is an abstention, an overvote that is not counted fractionally or an other exhausted ballot. (SB 1288 22002)                                                                                           Abstention means a ballot that is to be counted for the highest-ranked continuing candidate, but that does not contain a highest-ranked continuing candidate or overvote, and the voter did at least one of the following:
   (1) Failed to assign an available ranking to every qualified candidate, and the ballot allowed the voter to rank an additional qualified candidate without creating an overvote ranking. 
   (2) Assigned a qualified candidate two or more different rankings .  (SB 1288, 22001(a))",Exhaust ballot,"CA SB 1288 22002., CA SB 1288, 22001(a); Eastpointe, Michigan ",,,CA SB 1288,,,,,,,,
Resolve Skipped Rankings,Resolve Skipped Rankings A,"When a skipped ranking, overvote or repeat candidate ranking is encountered on a ballot, that ballot shall count towards the highest continuing ranking that is not a skipped ranking, an overvote or repeat candidate ranking.  (Minneapolis Charter, 167.60(c)(2))","Advance to next ranking  
","Minneapolis Charter, 167.60(c)(2), Oakland Charter, 1105(g)–(h), Berkeley Code, 2.14.070, St Paul Ordinances, 31.05(d)(4)(b), San Francisco Charter, § 13.102(a), NCGS 163-329(b1)(2), Santa Fe Code, 9-1.15(B)(12)",,,Minneapolis: https://drive.google.com/open?id=0B6Xsbk1wDKOoZ2NYTHFNSzFCSkE; Oakland: https://drive.google.com/open?id=0B6Xsbk1wDKOoeVp2S1NUS3V0Sm8; Berkeley: https://drive.google.com/open?id=0B6Xsbk1wDKOodlhVUnBMbXFUVEU; St. Paul: https://drive.google.com/open?id=0B6Xsbk1wDKOoNmNzWDVRTkdnQVk; San Francisco: https://drive.google.com/open?id=0B6Xsbk1wDKOodUNsQUttNEZ6X2c; North Carolina: https://drive.google.com/open?id=0B6Xsbk1wDKOoMkdwYTJQSkxqTzQ,,,,,,,,
Resolve Skipped Rankings,Resolve Skipped Rankings B,"Ballots skipping one number shall be counted for that voter’s next clearly indicated choice, but ballots skipping more than one number shall be declared exhausted when this skipping of numbers is reached. (Takoma Park Charter, § 606(g))",Ballot Exhausted/Eliminated after 2 consecutive skipped rankings,"Takoma Park Charter, § 606(g); Maine Rev. Stat. 21-723-A(D)",,,Takoma Park: https://drive.google.com/open?id=0B6Xsbk1wDKOodUNsQUttNEZ6X2c; http://legislature.maine.gov/statutes/21-A/title21-Asec723-A.html,,,,,,,,
Resolve Skipped Rankings,Resolve Skipped Rankings C,"""Exhausted ballot” means a ballot that is an abstention, an overvote that is not counted fractionally or an other exhausted ballot. (SB 1288 22002)                                                                                           Abstention means a ballot that is to be counted for the highest-ranked continuing candidate, but that does not contain a highest-ranked continuing candidate or overvote, and the voter did at least one of the following:
   (1) Failed to assign an available ranking to every qualified candidate, and the ballot allowed the voter to rank an additional qualified candidate without creating an overvote ranking. 
   (2) Assigned a qualified candidate two or more different rankings .  (SB 1288, 22001(a))",Exhaust ballot,"CA SB 1288 22002., CA SB 1288, 22001(a); Colo. R. 26.8.2",,,CA SB 1288; Colo. R. 26,,,,,,,,
SINGLE-ROUND TABULATION VARIANTS',,,,,,,,,,,,,,,
Straight Party Voting,Straight Party,Voter may cast a vote for all candidates of a political party with a single mark or selection,In partisan elections the ballot labels shall include a voting square or position whereby the voter may by one punch or one X record a straight party ticket vote for all the candidates of one party or may vote a split ticket for the candidates of his or her choice.(Alabama Code Title 45. Local Laws § 45-4-111(d)(1)d),"Alabama §§ 45-4-111(d)(1)(d), 17-7-21(3), Oklahoma § 26-7-119, Pennsylvania § 1109(A)(3)(d) , South Carolina § 7-13-330, Texas § 64.004, Utah § 20A-3-106, Michigan § 168.736c, Indiana § 3-11-14-23(c)",,,,,,,,,,,
Split ticket Voting,Split ticket (Single seat),A straight party mark counts for all candidates of the party selected except a voter may split ticket by also marking individual names in any single seat contest. Selection of a candidate in a contest supercedes any straight ticket selection for that contest.,"When only one candidate is to be elected to any office and the elector desires to vote for a candidate not on the straight party ticket, the elector may mark the name of the candidate for whom he or she desires to vote on the ballot. (Alabama Code Title 17. Elections § 17-6-36)","Alabama § 17-6-36, Oklahoma § 26-7-127(5), Pennsylvania tit. 25 § 1003, South Carolina §§ 17-13-330, 17-13-1340(b), Texas § 65.007, Utah § 20A-3-106, Michigan § 168.736c, Indiana § 3-12-1-7(b)(3)(B)",,,,,,,,,,,
Split ticket Voting,Split ticket (Multi-seat Inclusive),"A straight party mark counts for all candidates of the party selected except a voter may split ticket by also marking individual names in any multi seat contest. If fewer individual names are selected than seats to be filled and the number of candidates of the party selected by the straight party option would not result in the contest being overvoted, the straight party candidates also receive a vote.","When two or more candidates are to be elected to the same office and the elector desires to vote for candidates on different party tickets for such office, the elector may mark the names of the candidates for whom he or she desires to vote on the ballot. (Alabama Code Title 17. Elections § 17-6-37 )","Alabama § 17-6-37, Oklahoma § 26-7-127, Texas § 65.007, Utah § 20A-3-106(1)(, Michigan § 168.736c, Indiana § ",,,,,,,,,,,
Split ticket Voting,Split ticket (Multi-seat Exclusive),"A straight party mark counts for all candidates of the party selected except a voter may split ticket by also marking individual names in any single- or multi seat contest. For multi-seat contests, a candidate selection negates the straight party selection for that contest.","For an office where more than one candidate is to be voted for, the voter, after marking in the party square, may divide his vote by marking a cross (X) or check ( ) to the right of each candidate for whom he or she desires to vote. For such office votes shall not be counted for candidates not individually marked. (Penn. Elec. Code tit. 25, § 1003), http://scstatehouse.gov/code/t07c013.php)","Pennsylvania tit. 25 §§ 1003, 1112-A(2), South Carolina ",,,,,,,,,,,
Multi-seat exclusion,Multi-seat exclusion,Multi-seat contests excluded from straight party application.,"To vote for any candidate for an at-large office (insert county council, city common council, town council, or township board if those offices appear on this ballot), you must make another voting mark for each candidate you wish to vote for. Your straight party vote will not count as a vote for any candidate for that office. (Indiana Code Title 3. Elections § 3-11-2-10(c)2)",Indiana § 3-11-2-10(c)(2),,,,,,,,,,,
Independent ticket limitation,Independent ticket limitation,"Straight party vote for Independent ticket counts only for President and VP, governor and lt governor contests.",A vote cast for an independent ticket will only be counted for the candidates for President and Vice President or governor and lieutenant governor comprising that independent ticket. This vote will NOT be counted for any OTHER independent candidate appearing on the ballot. (Indiana Code Title 3. Elections § 3-11-2-10(d)),Indiana § 3-11-2-10(d),,,,,,,,,,,
Straight Party Voting,Straight Party Overvote,"If a voter votes for more than one party in the ""straight party"" section of their ballot, that ballot will be counted as an overvote for any partisan race.","IC 3-12-1-7(f) If a voter votes a straight party ticket for more than one (1) political party, the whole ballot is void with regard to all candidates nominated by a political party, declared write-in candidates, or candidates designated as independent candidates on the ballot. However, the voter's vote for a school board candidate or on a public question shall be counted if otherwise valid under this chapter.",Indiana § 3-12-1-7(f),,,,,,,,,,,
,,,,,,,,,,,,,,,
Counting,Tally,One vote shall be counted for each validly selected contest option on a ballot,"15276.
  The precinct board members shall ascertain the number of votes cast for each person and for and against each measure in the following manner:

One precinct board member shall read from the ballots. As the ballots are read, at least one other precinct board member shall keep watch of each vote so as to check on any possible error or omission on the part of the officer reading or calling the ballot.

(Repealed and added by Stats. 1998, Ch. 1073, Sec. 27. Effective January 1, 1999.)


15277.
  (a) Two of the precinct board members shall each keep a tally sheet in a form prescribed by the elections official. Each tally sheet shall contain all of the following:

(1) The name of each candidate being voted for and the specific office for which each candidate is being voted. The offices shall be in the same order as on the ballot.

(2) A list of each measure being voted upon.

(3) Sufficient space to permit the tallying of the full vote cast for each candidate and for and against each measure.

(b) The precinct board members keeping the tally sheets shall record opposite each name or measure, with pen or indelible pencil, the number of votes by tallies as the name of each candidate or measure voted upon is read aloud from the respective ballot.",California (this is as close as I could come to a statute that said votes from each ballot should increment each ballot option's tally by 1)  (Effectively applies to all jurisdictions),,,,,,,,,,,
Counting,Overvote,A ballot that is overvoted for an office shall not be counted for that office.,"If an official ballot is marked in a ballot item with more choices than there are offices to be filled or propositions that may prevail, the official ballot shall not be counted for that ballot item, but shall be counted in all other ballot items in which there is no overvote and the voter's choice can be clearly determined. (https://www.ncga.state.nc.us/EnactedLegislation/Statutes/PDF/BySection/Chapter_163/GS_163-182.1.pdf)","All Jurisdictions, N.C. Gen. Stat. § 163-182.1(a)(4)",,,,,,,,,,,
Counting,Undervote,"If a contest is marked with a lesser number of choices of candidates or ballot questions than the number for which he or she is lawfully entitled to vote, the votes cast for all otherwise properly marked candidates or ballot questions shall be counted.","NY Rules and Regulations § 6210.13(6) Standards for determining valid votes:   If a contest is marked with a lesser number of choices of candidates or ballot questions than the number for which he or she is lawfully entitled to vote, the votes cast for all otherwise properly marked candidates or ballot questions shall be counted.",NY Rules and Regulations § 6210.13(6) Standards for determining valid votes,,,,,,,,,,,
Counting,Overvote,"If a ballot is marked in each of two or more target areas or sensitive areas for a candidate whose name appears on the ballot more than once for the same office, and the total number of votes cast for such race for different candidates does not exceed the number for which he or she is lawfully entitled to vote, only the first vote for such candidate with multiple markings shall be counted for such candidate.","NY Rules and Regulations § 6210.13(7) If a ballot is marked in each of two or more target areas or sensitive areas for a candidate whose name appears on the ballot more than once for the same office, and the total number of votes cast for such race for different candidates does not exceed the number for which he or she is lawfully entitled to vote, only the first vote for such candidate with multiple markings shall be counted for such candidate.","NY Rules and Regulations § 6210.13(7) Standards for determining valid votes
",,,,,,,,,,,
,,,,,,,,,,,,,,,
Counting,,,,,,,,,,,,,,,
Counting,Voter Intent Yes (ballot),No ballot rejected due to technical errors in marking if voter intent can be determined by human examination.,"No official ballot shall be rejected because of technical errors in marking it, unless it is impossible to clearly determine the voter's choice. (https://www.ncga.state.nc.us/EnactedLegislation/Statutes/PDF/BySection/Chapter_163/GS_163-182.1.pdf)","North Carolina,GS_163-182.1",,,,,,,,,,,
Counting,Voter Intent Yes (contest),"If voter intent in a contest cannot be clearly determined, the ballot shall not be counted for that contest but shall be counted for all other contests in which voter intent can be determined.","If it is impossible to clearly determine a voter's choice in a ballot item, the official ballot shall not be counted for that ballot item, but shall be counted in all other ballot items in which the voter's choice can be clearly determined. (https://www.ncga.state.nc.us/EnactedLegislation/Statutes/PDF/BySection/Chapter_163/GS_163-182.1.pdf)",N.C. Gen. Stat. § 163-182.1(a)(3),,,,,,,,,,,
Counting,Voter Intent No (ballot),"An improperly marked ballot  on which the votes cannot be read by the tabulation device shall not be counted.   (Michigan)                                                                       
  (a) Any ballot that is not marked as provided by law shall be rejected. (California)","(k) A vote shall not be counted for a candidate unless a cross or a check mark has been placed by the voter in the square before the space in which the name of the candidate has been printed, written, or placed. (2) If an electronic voting system requires that the elector place a mark in a predefined area on the ballot in order to cast a vote, the vote shall not be considered valid unless there is a mark within the predefined area. A stray mark made within a predefined area is not a valid vote. (Chapter 168 Sec. 803. (1)  [Michigan])                                           (a) Any ballot that is not marked as provided by law shall be rejected. (Ca. Elections Code, Division 15, Chapter 3, Article 115154.)","Mich. Comp. Laws §§ 168.803(1)(k)–(2); Cal. Elec. Code Div. 15, Ch. 3, § 15154",,,,,,,,,,,
Counting,Voter Intent No (contest),An improperly marked contest shall not be counted but other properly marked contests shall be counted.,"(f) A failure to properly mark a ballot as to 1 or more candidates does not alone invalidate the entire ballot if the ballot has been properly marked as to other candidates, unless the improper marking is determined to be a distinguishing mark as described in this subsection. [Michigan 168.803(1)(f)]",Mich. Comp. Laws § 168.803(1)(f),,,,,,,,,,,
Counting,Voter Intent (hand to eye examination),"If a ballot is rejected by a tabulation device, if must be examined by hand to eye for voter intent determination","If an official ballot is rejected by a scanner or other counting machine, but human counters can clearly determine the voter's choice, the official ballot shall be counted by hand and eye. (https://www.ncga.state.nc.us/EnactedLegislation/Statutes/PDF/BySection/Chapter_163/GS_163-182.1.pdf)",N.C. Gen. Stat. § 163-182.1(a)(5),,,,,,,,,,,
Counting,Write-ins,No write-ins in primaries. Write-ins in general elections shall be counted only for qualified candidates.,"Write-in votes shall not be counted in party primaries or in referenda, but shall be counted in general elections if all of the following are true: a. The write-in vote is written by the voter or by a person authorized to assist the voter pursuant to G.S. 163-166.8. b. The write-in vote is not cast for a candidate who has failed to qualify under G.S. 163-123 as a write-in candidate. c. The voter's choice can be clearly determined. (https://www.ncga.state.nc.us/EnactedLegislation/Statutes/PDF/BySection/Chapter_163/GS_163-182.1.pdf)                                              California: 15340.
  Except for a voter-nominated office at a general election, each voter is entitled to write on the ballot the name of any candidate for any public office, including that of President and Vice President of the United States.

15341.
  Notwithstanding any other provision of law, no name written upon a ballot in any election shall be counted for an office or nomination unless the candidate whose name has been written on the ballot has complied with Part 3 (commencing with Section 8600) of Division 8.","N.C. Gen. Stat. § 163-182.1(6); Cal. Elec. Code Div. 15, Ch. 4, §§ 15340–15341",,,,,,,,,,,
Counting,Write-ins,"Write-in caldidates must file statement of write-in candidacy.  No wirte-in for ""voter nominated office""","8600.
  Every person who desires to be a write-in candidate and have his or her name as written on the ballot of an election counted for a particular office shall file:

(a) A statement of write-in candidacy that contains the following information:

(1) Candidate’s name.

(2) Residence address.

(3) A declaration stating that he or she is a write-in candidate.

(4) The title of the office for which he or she is running.

(5) The party nomination which he or she seeks, if running in a partisan primary election.

(6) The date of the election.

(7) A certification of the candidate’s complete voter registration and party affiliation/preference history for the preceding 10 years, or for as long as he or she has been eligible to vote in the state if less than 10 years, if running for a voter-nominated office.

(8) For any of the offices described in Section 13.5, a statement that the candidate meets the statutory and constitutional requirements for that office as described in that section.

(b) The requisite number of signatures on the nomination papers, if any, required pursuant to Sections 8062, 10220, and 10510, or, in the case of a special district not subject to the Uniform District Election Law (Part 4 (commencing with Section 10500) of Division 10), the number of signatures required by the principal act of the district.

(c) Notwithstanding any other provision of law, a person may not be a write-in candidate at the general election for a voter-nominated office.                                              8606.
  Notwithstanding any other provision of law, a person may not be a write-in candidate at the general election for a voter-nominated office.                                                                     Also see sectioin 15342","Cal. Elec. Code Div. 8, Part 3, Ch. 1 §§ 8600, 8606; Cal. Elec. Code Div. 15, Ch. 4, § 15342 ",,,,,,,,,,,
Ballot Validation,Voter Error Alert,Voter Error Alert,"Provide that if the voter selects votes for more than the number of candidates to be elected or proposals to be approved in a ballot item, the voting system shall do all the following: a. Notify the voter that the voter has selected more than the correct number of candidates or proposals in the ballot item. 
G.S. 163-182.1 Page 4 
b. Notify the voter before the vote is accepted and counted of the effect of casting overvotes in the ballot item. c. Provide the voter with the opportunity to correct the official ballot before it is accepted and counted. (https://www.ncga.state.nc.us/EnactedLegislation/Statutes/PDF/BySection/Chapter_163/GS_163-182.1.pdf)",N.C. Gen. Stat § 163-182.1(b)(2) [HAVA Requirement - find HAVA cite],,,,,,,,,,,
Resolving Ties,Ties,Decided by lot,"168.851 Tie vote; determination of election by lot, procedure; drawing for state legislature. Sec. 851. If it shall appear on the canvass of the votes polled at any election canvassed by the board of county canvassers that 2 or more persons have received an equal number of votes for the same office, and that a failure to elect to any office is caused thereby, the election to the office shall be determined in the following manner: The board of canvassers for the county in which such election was held shall appoint a day for the appearance of all affected persons before the county clerk for the purpose of determining by lot among such persons the right to the office, and shall cause notice thereof to be given to all the persons interested. The county clerk shall prepare as many slips of paper as there are such persons, and write the word “elected” on as many slips of paper as there are offices to be filled, and the words “not elected” on the remaining slips, and fold the same so as to conceal the writing and so that they may appear as near alike as possible. The slips shall be placed in a box and, at the time and place appointed for the drawing of the lots, each of the persons aforesaid may draw 1 of the slips from the box, and any person drawing a slip on which is written the word “elected” shall be deemed legally elected to the office in question and the county clerk shall forthwith give him a certificate of election. [Michigan]                                                                                                                          NC § 163-182.8. Determining result in case of a tie.
If the count, upon completion of canvass by the proper board of elections, shows a tie vote other than in a primary, the tie shall be resolved as follows:

(2) If 5,000 or fewer voters cast official ballots in the ballot item, the board of elections with jurisdiction to certify the election shall break the tie by a method of random selection to be determined by the State Board of Elections. https://www.ncga.state.nc.us/EnactedLegislation/Statutes/PDF/BySection/Chapter_163/GS_163-182.8.pdf","Mich. Comp. Laws § 168.851, N.C. Gen. Stat. § 163-182.8(2); (Most jurisdictions provide for deciding ties ""by lot"" in some fashion)",,,,,,,,,,,
Resolving Ties,Ties,Decided by lot or runoff,"15651.
  (a) If at any election, except as provided in subdivision (b) and an election for Governor or Lieutenant Governor, two or more persons receive an equal and the highest number of votes for an office to be voted for in more than one county, the Secretary of State shall forthwith summon the candidates who have received the tie votes, whether upon the canvass of the returns by the Secretary of State or upon recount by a court, to appear before him or her at the Secretary of State’s office at the State Capitol at a time to be designated by him or her. The Secretary of State shall at that time and place determine the tie by lot. Except as provided in subdivision (b), in the same manner, at a time and place designated by it, the election board shall determine a tie vote, whether upon the canvass of the returns by the election board or upon a recount by a court, for candidates voted for wholly within one county or city.

(b) In lieu of resolving a tie vote by lot as provided in subdivision (a), the legislative body of any county, city, or special district not subject to the Uniform District Election Law (Part 4 (commencing with Section 10500) of Division 10) may resolve a tie vote by the conduct of a special runoff election involving those candidates who received an equal number of votes and the highest number of vote","Cal. Elec. Code Div. 15, Ch. 10, § 15651(a) ",,,,,,,,,,,
Resolving Ties,Ties,"Decided by General Assembly (Gov., Lt. Gov.)","15654.
  In case any two or more persons have an equal and highest number of votes for either Governor or Lieutenant Governor, the Legislature shall, by a joint vote of both houses, choose one of the persons to fill the office.","Cal. Elec. Code Div. 15, Ch. 10, § 15654",,,,,,,,,,,
Resolving Ties,Ties,"Decided by runoff (if > 5,000 votes)","§ 163-182.8. Determining result in case of a tie.
If the count, upon completion of canvass by the proper board of elections, shows a tie vote other than in a primary, the tie shall be resolved as follows:
(1) If more than 5,000 voters cast official ballots in the ballot item, the State Board of Elections shall order a new election in which only the candidates or positions tied will be on the official ballot. The State Board of Elections shall set the schedule for publication of the notice, preparation of absentee official ballots, and the other actions necessary to conduct the election. Eligibility to vote in the new election shall be determined by the voter's eligibility at the time of the new election.
",N.C. Gen. Stat. § 162-182.8(1),,,,,,,,,,,
Cumulative Voting,Individual Distribution of Votes,"Voters have as many votes as there are seats to be elected, and can assign them in any variety of whole vote allotments across the candidates in the race. For example, if a race has seven seats to elect, a voter can cast 5 votes for one candidate, and two for another. A different voter can cast one vote each for seven candidates. If, for example, a voter casts 4 votes out of the 7 they may vote, the 3 unused votes remain unvoted. Applies to multi-seat contests. ","""The ballot shall permit voters to cast six votes in the election. A voter may cast all six votes for one individual, the voter may cast one vote each for six different individuals, or the voter may cast multiple votes for some candidates and single votes for others as long as the total number of votes cast do not exceed six.""","United States v. Port Chester, S.D.N.Y., Case No. 06 Civ. 15173, Consent Decree at 3.",https://redistricting.lls.edu/files/Port%20Chester%20consent%20decree.pdf,"Also used in a number of alabama, south dakota, and texas jurisdictions. ",,,,,,,,,
Proportional Voting,,"Voters have as many votes as there are seats to be elected, and votes are assigned proportionally to candidates based on the number of selections that voter makes in the contest.  For example, if a race has seven seats to elect, a voter can vote for two candidates and have each candidate receive 3.5 votes. If a different voter in that race votes for seven candidates, each candidate will receive 1 vote. Votes cannot go unused in this form of cumulative voting. Applies only to multi-seat contests.","""Each voter will be able to cast up to five votes for the candidate of his or her choice or split any other compination of votes for candidates up to as many as one vote for each of five candidates. The maximum number of votes each voter may cast in the at-large elections will be five. The five candidates who receive the highest number of votes in the general election will be declared the winners of the at-large seats.""","Banks v. Peoria, C.D. Ill. No. 87-2371, Consent Decree Exh. B at 1–2.",https://fairvote.app.box.com/v/peoria-cumulative-settlement,"Note: The language from the settlement decree describes the individual distribution form of cumulative voting, but Peoria uses the proprotional distribution form. you can see the results of their 2015 election here, which reflect the proportional distribution of votes: http://peoriaelections.org/ArchiveCenter/ViewFile/Item/53",,,,,,,,,
,,,,,,,,,,,,,,,
Limited Voting,Casting Votes,Voters have fewer votes than there are seats to be elected. They can vote those votes in any variety of vote allotments across the candidates in a race. ,"art. IX, § 4, Three county commissioners shall be elected in each county. In the election of these officers each qualified elector shall vote for no more than two persons, and the three persons receiving the highest number of votes shall be elected.","Penn. Const. art. IX, § 4; Also used in Alabama, other VRA places. May be best to FOIA some Consent Decrees from Alabama/others to see how Limited Voting is described. ",http://www.duq.edu/academics/gumberg-library/pa-constitution/texts-of-the-constitution,https://fairvote.app.box.com/v/jerome-gray-pamphlet,,,,,,,,,
Approval Voting,Casting Votes,Voters have as many votes as there are candidates up for election. They may cast zero or one vote for each candidate. ,art. XI § A City officials will be elected so that each voter may vote for all the candidates the voter approves of in each race. ,Fargo City Charter art. XI,,,https://library.municode.com/nd/fargo/codes/code_of_ordinances?nodeId=HOME_RULE_CHARTER_ART11_-_ELECTION_PROCEDURES,,,,,,,,
Approval Voting,Winning Condition,Candidates with the most votes win. ,art. XI § A Candidates receiving the most votes will be elected until all necessary seats are filled in each race.,Fargo City Charter art. XI,,,https://library.municode.com/nd/fargo/codes/code_of_ordinances?nodeId=HOME_RULE_CHARTER_ART11_-_ELECTION_PROCEDURES,,,,,,,,
At-large block voting,Winning Condition,Candidates with the most votes win. ,"669:60 ""the whole number of persons voting for any office shall first be ascertained and then the vote for each candidate seeking said office. In order to win an office by unofficial ballot, a candidate must receive a majority of the votes cast for a certain office. In the case that more than one candidate receives a majority, the candidates with the largest majority of votes for the positions available shall be declared elected.""",,,,,,,,,,,,
Single-winner plurality voting,Winning condition,The person who receives the most votes in an election wins election. ,"And that there may be a due meeting of senators and representatives on the first Wednesday of December, biennially, the secretary of state shall, as soon as may be, examine the returned copy of such records; and fourteen days before the first Wednesday of December, he shall issue his summons to such persons as appear to be chosen senators and representatives, by a plurality of votes, to attend and take their seats on that day.","N.H. Const. Pt. Second, Art. 33. ",,https://www.nh.gov/glance/senate.htm,,,,,,,,,
,,,,,,,,,,,,,,,
Tally,,,,,,,,,,,,,,,
Audit,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Verification,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Configuration,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Encryption,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Supermajority,Winning Condition,Ballot option must receive 2/3rds of the vote to win.,,Fl. Const. art. XI sec. 7,,,,,,,,,,,
Supermajority,Winning Condition,Ballot option must receive 60% of the vote to win,,Fl. Const. art. XI sec. 5,,,,,,,,,,,